confl,SELS_mx,nrSELS,pavedkm,unpavedkm,PA_dist,vieh_sum,cattle_sum,pop_sum,forest,shrub,grass,crop,set_num,set_area
"2",C1,"1.000000000000000","216.56","643.98","122.52","2837.371734619140625","12948.607604980470569","64245.271762000396848","681.53","359.89","164.33","433.47","7.000000000000000","21.12"
"2",C1,"2.000000000000000","37.54","375.28","74.09","3057.585418701171875","11581.516937255859375","3390.643562254961580","1128.62","340.69","25.75","149.25","2.000000000000000","2.98"
"2",C1,"1.000000000000000","81.34","328.79","25.24","1336.299636840820312","57018.655273437500000","33187.211150465765968","9.52","0.15","57.44","1662.37","7.000000000000000","14.92"
"2",C1,"1.000000000000000","236.98","443.81","34.03","2284.049560546875000","39998.025756835937500","78530.969552770475275","33.07","0.04","67.54","1627.52","4.000000000000000","35.33"
"2",C1,"1.000000000000000","39.27","411.32","0.00","2317.545303344726562","58068.530273437500000","17223.024848042288795","44.68","0.00","646.55","223.41","3.000000000000000","5.99"
"2",C1,"1.000000000000000","41.03","383.02","37.64","3151.633697509765625","44948.717041015625000","7966.382588947424665","5.83","0.03","176.26","1562.88","3.000000000000000","4.30"
"2",C1,"2.000000000000000","41.24","421.33","55.97","5802.471923828125000","15206.267333984375000","12404.804386379662901","833.73","29.26","37.55","750.55","1.000000000000000","6.07"
"2",C1,"1.000000000000000","66.97","193.16","8.03","2719.373306274414062","32420.235595703125000","491181.499091925332323","654.89","0.93","833.70","4.19","3.000000000000000","101.38"
"2",B,"3.000000000000000","63.35","310.77","0.00","1307.566983222961426","1758.872135162353516","35139.473104280419648","1051.53","25.46","600.73","0.04","11.000000000000000","8.47"
"2",A3,"2.000000000000000","46.95","243.06","0.00","6074.319274902343750","23.812503099441528","12967.145483678206801","0.96","506.10","795.20","0.02","1.000000000000000","6.62"
"2",C1,"1.000000000000000","35.47","381.04","109.69","16214.997436523437500","5356.173553466796875","7097.394107600207462","1263.78","402.81","10.58","1.64","3.000000000000000","4.76"
"2",C1,"1.000000000000000","84.08","310.72","27.83","1323.313674926757812","54717.197998046875000","33139.878873135894537","9.20","0.11","55.57","1664.06","6.000000000000000","14.85"
"2",C1,"1.000000000000000","96.33","521.86","0.00","2304.693832397460938","48044.539306640625000","39790.394210270605981","21.87","0.09","164.28","1578.21","5.000000000000000","15.06"
"2",A4,"1.000000000000000","63.73","57.54","0.00","17636.869323730468750","239.277765274047852","204.815584834665060","0.01","274.51","274.51","0.25","0.000000000000000","2.12"
"2",A3,"1.000000000000000","0.00","33.31","69.42","14987.577514648437500","27.814406156539917","18.262102269101888","0.16","337.23","337.23","0.55","0.000000000000000","0.00"
"2",A3,"1.000000000000000","27.85","61.40","150.33","15454.178955078125000","84.887065887451172","191.563150095753372","0.57","427.05","427.05","0.35","1.000000000000000","0.17"
"2",A3,"1.000000000000000","0.00","255.31","4.20","19525.028564453125000","127.858451843261719","31.028861056547612","0.00","696.44","696.44","1.02","0.000000000000000","0.01"
"2",A2,"2.000000000000000","135.24","187.28","0.00","18923.693054199218750","6198.719604492187500","25988.689844960812479","605.81","1224.42","1224.42","33.53","2.000000000000000","10.06"
"2",A3,"1.000000000000000","0.00","180.47","32.52","15291.971069335937500","1318.409278869628906","28.564562596380711","0.01","345.53","345.53","1.99","0.000000000000000","0.02"
"2",A3,"1.000000000000000","0.00","182.06","126.21","43292.192871093750000","1035.596061706542969","57.008490455336869","0.17","1016.03","1016.03","0.04","0.000000000000000","0.01"
"2",A3,"1.000000000000000","58.19","183.05","85.22","42184.233642578125000","1896.108909606933594","3049.317927132360637","1.03","1661.84","1661.84","0.29","2.000000000000000","2.38"
"2",A3,"1.000000000000000","0.00","102.46","45.48","11944.915649414062500","86.739913940429673","26.175062227994204","0.11","1859.09","1859.09","0.00","0.000000000000000","0.06"
"2",A3,"3.000000000000000","0.00","211.84","14.66","22658.576904296875000","2728.622512817382812","158.725432236678898","6.26","1009.66","1009.66","1.26","1.000000000000000","0.10"
"1",A4,"2.000000000000000","40.38","165.21","0.00","544.632727622985840","9481.746276855468750","41.257904099300504","0.81","584.41","584.41","15.61","0.000000000000000","0.70"
"1",C1,"2.000000000000000","55.90","315.61","2.14","1660.798500061035156","21522.439453125000000","21189.587596992962062","245.43","159.16","159.16","729.96","5.000000000000000","8.13"
"1",C1,"1.000000000000000","75.74","337.51","0.00","9771.651580810546875","61534.750976562507276","2785.214581902605005","731.96","843.26","843.26","8.02","2.000000000000000","1.94"
"1",C1,"2.000000000000000","40.26","157.13","15.82","25022.766235351562500","26911.122558593750000","1413.565235244110227","1.94","652.61","652.61","769.61","0.000000000000000","1.88"
"1",A3,"2.000000000000000","41.23","255.33","0.03","22867.739990234375000","1871.350692749023438","1657.672853767871857","1.05","1400.40","1400.40","0.02","1.000000000000000","0.86"
"1",A4,"2.000000000000000","0.00","137.07","50.88","11934.830139160156250","86.666676998138428","17.179262836463749","0.01","86.16","86.16","0.04","0.000000000000000","0.04"
"1",A3,"1.000000000000000","0.00","62.97","87.34","21198.372070312500000","187.075134277343750","103.433856397867203","0.02","1201.01","1201.01","0.00","2.000000000000000","0.06"
"1",A1,"2.000000000000000","0.00","38.45","0.00","1157.468208312988054","223.606579780578613","73.498951923102140","0.00","18.22","18.22","0.00","0.000000000000000","0.07"
"0",A1,"3","388.03","517.6","0","0","0","14757.6388447033","1175.23","0.05","242.13","0","3","3.32"
"0",A2,"2","0","64.57","33.77","12.8035498559475","36.4083070755005","30.8211663300171","0.33","3.58","470.06","0","0","0"
"0",A2,"3","0","281.86","0","2368.45423126221","16502.2723999023","264.392064604908","729.4","114.92","669.88","31.78","0","0.09"
"0",A2,"2","110.82","1.05","1.53","4049.79959106445","4107.89456176758","27.5639226706699","0.17","153.04","1192.54","0","0","0.4"
"0",A2,"2","0","240.97","0","18418.0491943359","1803.63753509521","607.688402908854","0","4.27","393.65","0.26","6","0.43"
"0",A2,"2","0","59.7","29.3","503.177639007568","44.6215960234404","1139.56385700405","2.52","409.69","427.05","3.95","1","0.43"
"0",A2,"3","0","281.86","0","2368.45423126221","16502.2723999023","264.392064604908","729.4","114.92","669.88","31.78","0","0.09"
